"","treat","effect","mean","sd","ci.025","ci.16","ci.84","ci.975","RGR"
"1","U","D",24.1162257872747,20.162487599468,3.16817806476714,8.36229633424699,39.4284457338782,76.4932515001417,1
"2","U","DI",24.1162257872747,20.162487599468,3.16817806476714,8.36229633424699,39.4284457338782,76.4932515001417,1
"3","CA","D",21.6596761214222,19.0238949286943,1.67373011786287,6.9095505477266,35.6100514898718,70.8956601735615,0.898137059773728
"4","CA","DI",26.179607816534,23.5107498660753,2.23023974498317,8.24654215184785,43.4584373528985,88.812186439535,1.08555990673915
"5","CN","D",25.2592748084973,21.2565556104885,3.07123727032544,8.433118029675,41.4698058325155,80.813663701604,1.04739750868586
"6","CN","DI",31.0868079904316,26.7398073807493,3.62616246522944,10.2752293447139,50.8923086491377,100.279496583237,1.28904117355026
"7","FA","D",20.0320389993604,17.4334570260255,2.82401047633495,6.89864616934454,32.7959352649129,65.8081544134288,0.830645689589232
"8","FA","DI",24.3866190031006,21.3646194424094,3.3270304465941,8.2746011451134,39.6360246803469,81.0486173601807,1.01121208675898
"9","FN","D",26.3142152837882,22.0098065079265,3.57428062749985,9.25472219313748,43.0720618994009,81.9377979872384,1.09114152089558
"10","FN","DI",32.0474711046505,26.396513260999,4.240289963282,11.2210575032226,51.7677043117942,100.074570679281,1.32887589406966
